CRS (RPM),F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),TPI,PR(mm/r)
0.545455,0.701493,0.629458,0.787879,0.800000,0.311148,0.119312
0.272727,0.538677,0.361295,0.515152,0.575000,0.034811,0.650451
0.454545,0.365665,0.223910,0.424242,0.450000,0.060862,0.280981
0.545455,0.645524,0.223910,0.757576,0.775000,0.123059,0.133361
0.363636,0.516790,0.379789,0.363636,0.475000,0.173504,0.145104
0.363636,0.347017,0.146631,0.606061,0.525000,0.014648,0.596771
0.545455,0.832080,0.655218,0.818182,0.825000,0.390024,0.091424
0.272727,0.384326,0.155218,0.424242,0.450000,0.013221,0.650451
0.727273,0.791041,0.293263,0.606061,0.700000,0.172984,0.111973
0.363636,0.309696,0.155218,0.545455,0.475000,0.034375,0.354791
0.272727,0.701493,0.396301,0.848485,0.875000,0.128606,0.213672
0.363636,0.514925,0.129458,0.909091,0.775000,0.041016,0.274062
0.363636,0.794771,0.612285,0.393939,0.450000,0.205730,0.193542
0.363636,0.347017,0.198151,0.151515,0.275000,0.013281,0.758021
0.545455,0.850740,0.827609,0.636364,0.650000,0.314904,0.161250
0.363636,0.347017,0.074637,0.515152,0.475000,0.004081,0.677501
0.545455,0.962679,0.913474,0.606061,0.700000,0.344952,0.161250
0.363636,0.496264,0.310436,0.545455,0.550000,0.179688,0.112812
0.272727,0.458955,0.463672,0.545455,0.500000,0.228846,0.126232
0.363636,0.496264,0.465654,0.303030,0.400000,0.205730,0.145104
0.363636,0.402986,0.138045,0.606061,0.375000,0.017858,0.516041
0.545455,0.514925,0.223910,0.727273,0.675000,0.056490,0.301111
0.272727,0.429106,0.198151,0.424242,0.325000,0.042380,0.353533
0.272727,0.869401,0.612285,0.696970,0.775000,0.188702,0.213672
0.454545,0.552233,0.361955,0.696970,0.750000,0.180688,0.131264
0.818182,0.141788,0.077279,0.000000,0.150000,0.080066,0.102957
0.545455,0.570894,0.379128,0.363636,0.500000,0.311148,0.063326
0.363636,0.682833,0.655218,0.606061,0.650000,0.254808,0.161250
0.363636,0.309696,0.138045,0.575758,0.475000,0.013672,0.596771
0.545455,0.514925,0.138045,0.636364,0.625000,0.134615,0.077375
0.636364,0.664172,0.051519,0.909091,0.675000,0.022837,0.279304
0.636364,0.888049,0.913474,0.848485,0.850000,0.428161,0.122038
0.363636,0.291048,0.068692,0.484848,0.475000,0.013020,0.435521
0.727273,0.231336,0.178336,0.030303,0.400000,0.205944,0.050325
0.363636,0.291048,0.085865,0.333333,0.275000,0.007812,0.596771
0.363636,0.850740,0.482827,0.545455,0.625000,0.166668,0.193542
0.636364,0.160449,0.051519,0.060606,0.075000,0.104567,0.056406
0.181818,0.274252,0.088507,0.363636,0.375000,0.005511,0.676033
0.363636,0.729478,0.612285,0.606061,0.700000,0.399414,0.080520
0.363636,0.195892,0.008587,0.393939,0.350000,0.006076,0.387083
0.636364,0.309696,0.180978,0.000000,0.100000,0.171340,0.069616
0.454545,0.533573,0.612285,0.545455,0.575000,0.259429,0.146362
0.272727,0.177232,0.103038,0.212121,0.275000,0.015625,0.475781
0.454545,0.962679,0.568692,0.696970,0.800000,0.208735,0.176138
0.363636,0.309696,0.068692,0.636364,0.475000,0.018750,0.354791
0.636364,0.720141,0.568692,0.757576,0.775000,0.240784,0.148249
0.636364,0.589555,0.353369,0.666667,0.700000,0.072515,0.344726
0.363636,0.333951,0.232497,0.545455,0.450000,0.073350,0.241979
0.454545,0.701493,0.534346,0.666667,0.575000,0.212740,0.161250
0.545455,0.757462,0.741083,0.666667,0.750000,0.359976,0.119312
0.363636,0.412310,0.266843,0.484848,0.525000,0.019531,0.758021
0.363636,0.328565,0.210040,0.333333,0.450000,0.016274,0.709583
0.363636,0.341410,0.120872,0.454545,0.375000,0.006250,0.758021
0.727273,0.514925,0.310436,0.727273,0.725000,0.126268,0.173621
1.000000,0.253727,0.051519,0.000000,0.200000,0.104567,0.056406
0.363636,0.322762,0.068692,0.545455,0.425000,0.006989,0.564479
0.363636,0.412310,0.465654,0.636364,0.600000,0.099865,0.322499
0.318182,0.576513,0.394980,0.515152,0.600000,0.059282,0.454812
0.636364,0.524249,0.439234,0.696970,0.750000,0.140625,0.213672
0.272727,0.272387,0.111625,0.363636,0.375000,0.005538,0.755295
0.363636,0.850740,0.396301,0.757576,0.800000,0.218750,0.112812
0.545455,0.430971,0.172391,0.424242,0.475000,0.060998,0.231076
0.818182,0.328356,0.310436,0.272727,0.300000,0.209736,0.091424
0.454545,0.291048,0.120872,0.303030,0.375000,0.018029,0.475781
0.363636,0.757462,0.094452,0.848485,0.825000,0.023438,0.354791
0.636364,0.770516,0.810436,0.757576,0.775000,0.330529,0.148249
0.363636,0.317167,0.068692,0.515152,0.425000,0.001563,0.758021
0.636364,0.682833,0.439234,0.757576,0.825000,0.244793,0.108828
0.545455,0.444025,0.138045,0.727273,0.775000,0.074519,0.161250
0.454545,0.701493,0.655218,0.636364,0.675000,0.362981,0.101279
0.272727,0.238820,0.175033,0.151515,0.175000,0.015285,0.650451
0.636364,0.589555,0.353369,0.666667,0.725000,0.116587,0.213672
0.363636,0.421634,0.293263,0.545455,0.550000,0.088543,0.241979
0.545455,0.701493,0.741083,0.969697,0.850000,0.134615,0.370937
0.545455,0.598879,0.396301,0.696970,0.750000,0.092548,0.301111
0.181818,0.302237,0.048877,0.333333,0.375000,0.002978,0.618788
0.636364,0.626863,0.155218,0.787879,0.650000,0.061298,0.213672
0.363636,0.337681,0.081902,0.393939,0.425000,0.007326,0.596771
0.727273,0.188433,0.138045,0.030303,0.125000,0.175931,0.050325
0.363636,0.626863,0.396301,0.606061,0.575000,0.140625,0.193542
0.363636,0.496264,0.344782,0.515152,0.500000,0.080255,0.306354
0.454545,0.291048,0.051519,0.393939,0.425000,0.003071,0.625498
0.272727,0.757462,0.508587,0.575758,0.450000,0.186854,0.178654
0.363636,0.458955,0.223910,0.545455,0.525000,0.062500,0.274062
0.363636,0.335816,0.270806,0.424242,0.425000,0.023786,0.677501
0.181818,0.197757,0.094452,0.030303,0.175000,0.039462,0.237576
0.363636,0.356341,0.085865,0.545455,0.475000,0.007812,0.596771
0.545455,0.794771,0.741083,0.848485,0.875000,0.435096,0.091424
0.454545,0.263063,0.017173,0.454545,0.350000,0.001202,0.550640
0.454545,0.365665,0.138045,0.484848,0.425000,0.034856,0.326064
0.727273,0.794771,0.327609,0.666667,0.700000,0.250000,0.074858
0.545455,0.608203,0.647952,0.727273,0.750000,0.293639,0.133361
0.545455,0.626863,0.310436,0.666667,0.725000,0.306319,0.049486
0.545455,0.720141,0.655218,0.727273,0.750000,0.390024,0.091424
0.818182,0.328356,0.241083,0.030303,0.175000,0.173678,0.091424
0.363636,0.430198,0.346103,0.393939,0.500000,0.043110,0.532187
0.636364,0.533573,0.353369,0.515152,0.575000,0.314904,0.056406
0.327273,0.287649,0.279392,0.212121,0.225000,0.019525,0.783602
0.363636,0.514925,0.370542,0.484848,0.350000,0.169922,0.145104
0.363636,0.328356,0.155218,0.545455,0.400000,0.005207,0.919270
0.545455,0.906710,0.827609,0.666667,0.700000,0.232272,0.231076
0.454545,0.350747,0.172391,0.606061,0.525000,0.032052,0.400923
0.363636,0.248132,0.054161,0.272727,0.400000,0.005805,0.548333
0.363636,0.365297,0.053501,0.212121,0.300000,0.001935,0.677501
0.363636,0.412310,0.336196,0.545455,0.475000,0.043528,0.516041
0.909091,0.309696,0.116909,0.000000,0.125000,0.299519,0.006710
0.454545,0.328356,0.094452,0.484848,0.400000,0.014423,0.475781
0.545455,0.794771,0.655218,0.757576,0.825000,0.322416,0.119312
0.909091,0.216418,0.138045,0.000000,0.075000,0.198468,0.039841
0.636364,0.794771,0.741083,0.818182,0.875000,0.385015,0.108828
0.272727,0.451484,0.191546,0.424242,0.400000,0.077611,0.196268
0.727273,0.192163,0.198151,0.060606,0.400000,0.173377,0.074858
1.000000,0.197757,0.099736,0.000000,0.075000,0.102719,0.087859
0.363636,0.162313,0.109643,0.090909,0.100000,0.031782,0.306354
0.636364,0.309696,0.249670,0.181818,0.175000,0.156650,0.108828
0.727273,0.645524,0.396301,0.666667,0.750000,0.117632,0.235269
0.545455,0.837687,0.672391,0.757576,0.800000,0.280562,0.147201
0.636364,0.738802,0.310436,0.606061,0.650000,0.144630,0.148249
0.363636,0.552233,0.525760,0.545455,0.500000,0.228516,0.145104
0.545455,0.449619,0.353369,0.181818,0.150000,0.108323,0.231076
0.363636,0.794771,0.698151,0.515152,0.625000,0.132812,0.354791
0.363636,0.328356,0.085865,0.515152,0.525000,0.004321,0.709583
0.454545,0.347017,0.111625,0.272727,0.400000,0.017782,0.460893
0.636364,0.720141,0.482827,0.787879,0.800000,0.264823,0.108828
0.272727,0.360071,0.119551,0.575758,0.525000,0.009525,0.650451
0.727273,0.664172,0.439234,0.787879,0.875000,0.150391,0.198155
0.363636,0.242538,0.116248,0.272727,0.225000,0.003906,0.838750
0.363636,0.449619,0.180978,0.515152,0.500000,0.060331,0.241979
0.818182,0.123128,0.180978,0.000000,0.075000,0.110577,0.126232
0.363636,0.629170,0.426024,0.515152,0.625000,0.067004,0.435521
0.363636,0.416040,0.327609,0.242424,0.275000,0.119793,0.193542
0.363636,0.322762,0.090489,0.515152,0.425000,0.005643,0.677501
0.545455,0.539180,0.422061,0.696970,0.575000,0.126352,0.231076
0.363636,0.384326,0.413474,0.454545,0.450000,0.105469,0.274062
0.272727,0.626863,0.439234,0.575758,0.600000,0.218750,0.126232
0.818182,0.216418,0.077279,0.000000,0.075000,0.108774,0.068148
0.636364,0.757462,0.310436,0.848485,0.775000,0.184697,0.108828
0.727273,0.160449,0.138045,0.000000,0.075000,0.137620,0.074858
0.454545,0.384326,0.266843,0.424242,0.350000,0.299880,0.041518
0.727273,0.925370,0.827609,0.909091,0.950000,0.265325,0.198155
0.636364,0.235078,0.180978,0.000000,0.025000,0.124600,0.108828
0.636364,0.347017,0.413474,0.090909,0.200000,0.410198,0.043405
0.363636,0.402066,0.349406,0.151515,0.300000,0.076953,0.322499
0.363636,0.325179,0.105680,0.363636,0.300000,0.014555,0.499895
0.545455,0.850740,0.827609,0.818182,0.850000,0.435096,0.105263
0.363636,0.257665,0.168428,0.272727,0.275000,0.008197,0.838750
0.363636,0.468280,0.568692,0.545455,0.600000,0.140625,0.274062
0.363636,0.412310,0.336196,0.060606,0.200000,0.067188,0.354791
