CRS (RPM),AR (mm/min),F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),SE(kW· h/m3),FPI,TPI,PR(mm/r)
0.363636,0.838710,0.395364,0.283766,0.393939,0.500000,0.017966,0.018905,0.017627,0.838750
0.345455,0.870968,0.355435,0.255844,0.363636,0.425000,0.014124,0.013738,0.013821,0.885301
0.272727,0.838710,0.365322,0.229870,0.333333,0.400000,0.011299,0.013520,0.011014,0.912560
0.272727,0.838710,0.366056,0.263636,0.333333,0.450000,0.013898,0.013577,0.013620,0.912560
0.363636,0.758065,0.397481,0.279221,0.484848,0.525000,0.020904,0.023080,0.020488,0.758021
0.454545,0.758065,0.440651,0.279221,0.515152,0.550000,0.023616,0.030749,0.023189,0.700356
0.363636,0.758065,0.456830,0.296753,0.515152,0.550000,0.022599,0.028554,0.022049,0.758021
0.363636,0.919355,0.451437,0.320779,0.393939,0.500000,0.018305,0.019900,0.017822,0.919270
0.272727,0.596774,0.443241,0.303247,0.515152,0.575000,0.028927,0.034713,0.028440,0.650451
0.272727,0.758065,0.485831,0.392857,0.515152,0.625000,0.028023,0.027220,0.027434,0.825330
0.272727,0.596774,0.528527,0.398052,0.484848,0.600000,0.039209,0.043789,0.038481,0.650451
0.363636,0.645161,0.496404,0.305195,0.515152,0.500000,0.029492,0.040845,0.028929,0.645209
0.363636,0.919355,0.496404,0.313636,0.545455,0.575000,0.017853,0.023356,0.017237,0.919270
0.363636,0.838710,0.496404,0.317532,0.545455,0.575000,0.021130,0.027378,0.020488,0.838750
0.363636,0.596774,0.514382,0.364286,0.515152,0.550000,0.039661,0.047549,0.039024,0.596771
0.272727,0.596774,0.519302,0.372078,0.515152,0.575000,0.036384,0.042808,0.035752,0.650451
0.318182,0.435484,0.555778,0.405195,0.515152,0.600000,0.060904,0.072968,0.060200,0.454812
0.363636,0.435484,0.606541,0.435714,0.515152,0.625000,0.068814,0.084526,0.067914,0.435521
0.363636,0.403226,0.667262,0.516883,0.727273,0.600000,0.088136,0.102057,0.087108,0.403229
0.363636,0.306452,0.676263,0.559091,0.757576,0.625000,0.124633,0.137471,0.123725,0.306354
0.363636,0.274194,0.640284,0.669481,0.666667,0.625000,0.163729,0.145011,0.162927,0.274062
0.363636,0.225806,0.662070,0.669481,0.606061,0.550000,0.195141,0.180195,0.194329,0.225834
0.363636,0.161290,0.674015,0.690909,0.606061,0.525000,0.266893,0.246302,0.266101,0.161250
0.363636,0.193548,0.365050,0.368831,0.393939,0.475000,0.129944,0.115687,0.129783,0.193542
0.272727,0.161290,0.730219,0.516883,0.575758,0.450000,0.188701,0.244155,0.187647,0.178654
0.363636,0.193548,0.766186,0.618831,0.393939,0.450000,0.207571,0.239017,0.206505,0.193542
0.363636,0.161290,0.710857,0.701299,0.484848,0.475000,0.270734,0.259376,0.269854,0.161250
0.363636,0.161290,0.757197,0.745455,0.545455,0.475000,0.286441,0.275812,0.285553,0.161250
0.363636,0.145161,0.735789,0.672078,0.606061,0.500000,0.283277,0.292310,0.282441,0.145104
0.545455,0.145161,0.712229,0.661039,0.636364,0.500000,0.323842,0.330046,0.323077,0.119312
0.545455,0.112903,0.784175,0.669481,0.606061,0.500000,0.395932,0.438515,0.395122,0.091424
0.363636,0.112903,0.711709,0.821429,0.575758,0.625000,0.411073,0.343843,0.410420,0.112812
0.454545,0.080645,0.749994,0.830519,0.636364,0.625000,0.563729,0.493866,0.563227,0.071294
0.090909,0.096774,0.586328,0.161039,0.696970,0.650000,0.089492,0.241428,0.088762,0.140281
0.272727,0.096774,0.661833,0.299351,0.545455,0.650000,0.175819,0.329604,0.175003,0.108828
0.363636,0.112903,0.604317,0.305195,0.575758,0.500000,0.173333,0.294315,0.172683,0.112812
0.363636,0.080645,0.739633,0.411688,0.606061,0.650000,0.281695,0.451126,0.280829,0.080520
0.363636,0.048387,0.749994,0.406494,0.606061,0.625000,0.376384,0.616425,0.375610,0.048438
0.363636,0.112903,0.730219,0.533766,0.545455,0.575000,0.278870,0.352378,0.278049,0.112812
0.454545,0.241935,0.640284,0.410390,0.545455,0.600000,0.127458,0.177623,0.126550,0.221220
0.363636,0.112903,0.694240,0.389610,0.666667,0.650000,0.212542,0.335789,0.211707,0.112812
