Raw data,,,,,,,,,
"CRS
(RPM)","AR
(mm/min)",F/A(MF),T/D3(MT),"UEP
(MPa)","LEP
(MPa)",SE(kW· h/m3),FPI,TPI,PR(mm/r)
"1,3",40,"334,55 ","3,20 ","0,13","0,18","2,21 ","715,00 ","79,63 ","30,77 "
"1,3",40,"342,15 ","3,07 ","0,13","0,17","2,12 ","731,25 ","76,38 ","30,77 "
"1,3",40,"339,11 ","3,13 ","0,13","0,19","2,16 ","724,75 ","78,00 ","30,77 "
"1,3",40,"345,19 ","4,18 ","0,12","0,19","2,85 ","737,75 ","104,00 ","30,77 "
"1,4",46,"304,14 ","3,13 ","0,11","0,17","2,02 ","608,70 ","73,04 ","32,86 "
"1,4",40,"329,99 ","3,66 ","0,1","0,17","2,69 ","759,50 ","98,00 ","28,57 "
"1,4",38,"334,55 ","3,39 ","0,13","0,19","2,63 ","810,53 ","95,79 ","27,14 "
"1,3",40,"372,57 ","4,31 ","0,13","0,17","2,95 ","796,25 ","107,25 ","30,77 "
"1,3",33,"385,19 ","4,57 ","0,17","0,22","3,76 ","997,85 ","137,88 ","25,38 "
"1,4",38,"364,96 ","5,22 ","0,17","0,23","4,01 ","884,21 ","147,37 ","27,14 "
"1,3",40,"372,57 ","4,57 ","0,16","0,22","3,12 ","796,25 ","113,75 ","30,77 "
"1,4",35,"357,36 ","3,92 ","0,17","0,2","3,28 ","940,00 ","120,00 ","25,00 "
"1,3",33,"395,38 ","4,57 ","0,17","0,19","3,77 ","1024,24 ","137,88 ","25,38 "
"1,3",18,"433,39 ","4,57 ","0,17","0,2","6,83 ","2058,33 ","252,78 ","13,85 "
"1,3",30,"418,19 ","4,18 ","0,16","0,19","3,79 ","1191,67 ","138,67 ","23,08 "
"1,3",25,"425,79 ","4,44 ","0,17","0,25","4,81 ","1456,00 ","176,80 ","19,23 "
"1,4",25,"456,20 ","5,22 ","0,17","0,23","6,07 ","1680,00 ","224,00 ","17,86 "
"1,5",20,"471,41 ","6,79 ","0,16","0,22","10,48 ","2325,00 ","390,00 ","13,33 "
"1,3",20,"486,62 ","7,70 ","0,17","0,2","10,31 ","2080,00 ","383,50 ","15,38 "
"1,3",21,"471,41 ","7,05 ","0,17","0,2","9,00 ","1919,05 ","334,29 ","16,15 "
"1,4",25,"456,20 ","7,31 ","0,15","0,22","8,45 ","1680,00 ","313,60 ","17,86 "
"1,4",25,"456,20 ","7,31 ","0,17","0,23","8,45 ","1680,00 ","313,60 ","17,86 "
"1,5",30,"425,79 ","7,31 ","0,17","0,24","7,55 ","1400,00 ","280,00 ","20,00 "
"1,3",38,"479,01 ","7,64 ","0,16","0,21","5,44 ","1077,63 ","200,13 ","29,23 "
"1,4",15,"532,24 ","6,53 ","0,17","0,24","12,53 ","3266,67 ","466,67 ","10,71 "
"1,5",20,"562,65 ","9,14 ","0,18","0,25","14,08 ","2775,00 ","525,00 ","13,33 "
"1,3",18,"593,07 ","11,62 ","0,16","0,21","17,22 ","2816,67 ","642,78 ","13,85 "
"1,3",15,"620,44 ","11,36 ","0,16","0,21","20,17 ","3536,00 ","754,00 ","11,54 "
"1,4",15,"608,27 ","9,53 ","0,18","0,23","18,24 ","3733,33 ","681,33 ","10,71 "
"1,4",15,"608,27 ","9,53 ","0,17","0,22","18,24 ","3733,33 ","681,33 ","10,71 "
"1,3",8,"669,10 ","10,31 ","0,15","0,2","34,24 ","7150,00 ","1283,75 ","6,15 "
"1,4",45,"380,17 ","2,35 ","0,17","0,17","1,59 ","777,78 ","56,00 ","32,14 "
"1,5",20,"418,19 ","4,44 ","0,14","0,19","6,88 ","2062,50 ","255,00 ","13,33 "
"1,4",10,"517,03 ","7,18 ","0,15","0,19","20,57 ","4760,00 ","770,00 ","7,14 "
"1,2",12,"517,03 ","6,79 ","0,19","0,24","13,94 ","3400,00 ","520,00 ","10,00 "
"1,5",15,"501,82 ","9,14 ","0,16","0,23","18,71 ","3300,00 ","700,00 ","10,00 "
"1,3",15,"532,24 ","9,79 ","0,16","0,2","17,39 ","3033,33 ","650,00 ","11,54 "
"1,3",15,"501,82 ","9,53 ","0,16","0,22","16,92 ","2860,00 ","632,67 ","11,54 "
"1,2",7,"539,84 ","8,48 ","0,15","0,2","29,71 ","6085,71 ","1114,29 ","5,83 "
"1,2",9,"402,98 ","9,40 ","0,15","0,2","25,58 ","3533,33 ","960,00 ","7,50 "
"1,3",15,"532,24 ","10,05 ","0,16","0,22","17,85 ","3033,33 ","667,33 ","11,54 "
