CRS (RPM),AR (mm/min),F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),PR(mm/r)
0.363636,0.274194,0.316546,0.152597,0.181818,0.225,0.274062
0.363636,0.225806,0.365109,0.448701,0.242424,0.225,0.225834
0.363636,0.354839,0.361514,0.201299,0.393939,0.4,0.354791
0.363636,0.112903,0.381289,0.398052,0.424242,0.225,0.112812
0.363636,0.274194,0.388492,0.279221,0.363636,0.3,0.274062
0.363636,0.596774,0.33094,0.381169,0.363636,0.3,0.596771
0.363636,0.596774,0.316546,0.322078,0.393939,0.375,0.596771
0.363636,0.677419,0.298557,0.338961,0.424242,0.375,0.677501
0.363636,0.629032,0.336334,0.296753,0.30303,0.25,0.629063
0.363636,0.516129,0.34712,0.194805,0.333333,0.275,0.516041
0.272727,0.290323,0.376026,0.342857,0.151515,0.3,0.318515
0.363636,0.306452,0.352513,0.364286,0.212121,0.375,0.306354
0.363636,0.112903,0.352513,0.237013,0.212121,0.225,0.112812
0.363636,0.322581,0.387605,0.36039,0.151515,0.3,0.322499
0.363636,0.435484,0.370503,0.364286,0.151515,0.275,0.435521
0.363636,0.354839,0.442448,0.398052,0.181818,0.175,0.354791
0.363636,0.516129,0.420863,0.38961,0.181818,0.2,0.516041
0.363636,0.483871,0.442448,0.391558,0.151515,0.175,0.483749
0.363636,0.354839,0.397481,0.347403,0.060606,0.2,0.354791
0.363636,0.354839,0.424459,0.381169,0.151515,0.125,0.354791
0.363636,0.435484,0.401076,0.406494,0.212121,0.175,0.435521
0.545455,0.274194,0.433448,0.364286,0.181818,0.15,0.231076
0.345455,0.370968,0.290775,0.118182,0.242424,0.3,0.377438
0.363636,0.516129,0.316546,0.22013,0.242424,0.225,0.516041
0.363636,0.564516,0.264388,0.211688,0.181818,0.175,0.564479
0.381818,0.596774,0.275376,0.228571,0.242424,0.275,0.586915
0.272727,0.596774,0.230231,0.188961,0.151515,0.175,0.650451
0.363636,0.774194,0.231579,0.157143,0.212121,0.175,0.774166
0.363636,0.83871,0.251804,0.188312,0.181818,0.175,0.83875
0.363636,0.758065,0.26259,0.169481,0.272727,0.225,0.758021
0.363636,0.83871,0.233814,0.131169,0.272727,0.225,0.83875
0.363636,0.919355,0.232017,0.133766,0.272727,0.225,0.91927
0.363636,0.919355,0.230219,0.131818,0.30303,0.2,0.91927
0.363636,0.83871,0.25385,0.1,0.333333,0.275,0.83875
0.363636,0.822581,0.216653,0.096753,0.30303,0.25,0.822604
0.363636,0.919355,0.217623,0.101299,0.30303,0.25,0.91927
0.363636,0.887097,0.235612,0.144156,0.30303,0.25,0.887188
0.363636,0.919355,0.228421,0.151299,0.30303,0.25,0.91927
0.454545,1.0,0.223016,0.194805,0.333333,0.3,0.925142
0.363636,1.0,0.233814,0.126623,0.30303,0.25,1.0
0.363636,0.919355,0.244601,0.15,0.363636,0.3,0.91927
0.363636,0.758065,0.216901,0.116234,0.272727,0.25,0.758021
0.363636,0.83871,0.248397,0.182468,0.272727,0.275,0.83875
0.272727,0.806452,0.260721,0.149351,0.272727,0.275,0.877752
0.363636,0.596774,0.253116,0.112987,0.212121,0.2,0.596771
0.363636,0.596774,0.28058,0.101299,0.333333,0.275,0.596771
0.454545,0.709677,0.294962,0.212338,0.272727,0.25,0.655483
0.363636,0.725806,0.325535,0.233117,0.242424,0.25,0.725729
0.363636,0.564516,0.290526,0.222727,0.121212,0.225,0.564479
0.363636,0.725806,0.295293,0.217532,0.151515,0.275,0.725729
0.363636,0.645161,0.301372,0.244156,0.181818,0.3,0.645209
0.454545,0.919355,0.294962,0.313636,0.242424,0.225,0.850283
0.363636,0.967742,0.334536,0.281818,0.363636,0.275,0.967708
0.363636,0.758065,0.334536,0.211688,0.151515,0.275,0.758021
0.363636,0.758065,0.292064,0.244805,0.212121,0.275,0.758021
0.272727,0.822581,0.297966,0.297403,0.212121,0.25,0.895156
0.363636,0.806452,0.291981,0.27987,0.090909,0.2,0.806458
0.363636,0.596774,0.316546,0.279221,0.333333,0.325,0.596771
0.363636,0.758065,0.352513,0.330519,0.272727,0.4,0.758021
0.363636,0.870968,0.352513,0.313636,0.272727,0.3,0.871042
0.363636,0.725806,0.325535,0.279221,0.242424,0.275,0.725729
0.327273,0.758065,0.277303,0.291558,0.212121,0.225,0.783602
0.272727,0.854839,0.195553,0.181818,0.212121,0.225,0.930174
0.363636,0.887097,0.236002,0.15974,0.212121,0.225,0.887188
0.363636,0.919355,0.318344,0.279221,0.363636,0.35,0.91927
0.363636,0.887097,0.336334,0.253896,0.272727,0.25,0.887188
0.363636,0.806452,0.327333,0.203896,0.242424,0.275,0.806458
0.272727,0.806452,0.27851,0.249351,0.393939,0.425,0.877752
0.272727,0.758065,0.316192,0.214286,0.363636,0.45,0.82533
0.363636,0.758065,0.316546,0.211688,0.484848,0.425,0.758021
0.363636,0.967742,0.352513,0.211688,0.454545,0.425,0.967708
0.363636,0.919355,0.343525,0.264286,0.424242,0.425,0.91927
0.363636,0.709677,0.316747,0.223377,0.333333,0.45,0.709583
0.272727,0.741935,0.242011,0.286364,0.333333,0.425,0.807717
0.272727,0.709677,0.299894,0.275325,0.30303,0.425,0.772908
0.363636,0.596774,0.40647,0.296753,0.424242,0.425,0.596771
0.363636,0.709677,0.424814,0.37013,0.393939,0.475,0.709583
0.363636,0.532258,0.414725,0.357143,0.393939,0.5,0.532187
0.363636,0.564516,0.449923,0.396104,0.424242,0.5,0.564479
0.363636,0.435484,0.460426,0.347403,0.575758,0.425,0.435521
0.363636,0.83871,0.442448,0.305195,0.545455,0.425,0.83875
0.363636,1.0,0.460426,0.364286,0.484848,0.4,1.0
0.363636,0.677419,0.403797,0.284416,0.393939,0.45,0.677501
0.363636,0.83871,0.395364,0.283766,0.393939,0.5,0.83875
0.345455,0.870968,0.355435,0.255844,0.363636,0.425,0.885301
0.272727,0.83871,0.365322,0.22987,0.333333,0.4,0.91256
0.272727,0.83871,0.366056,0.263636,0.333333,0.45,0.91256
0.363636,0.758065,0.397481,0.279221,0.484848,0.525,0.758021
0.454545,0.758065,0.440651,0.279221,0.515152,0.55,0.700356
0.363636,0.758065,0.45683,0.296753,0.515152,0.55,0.758021
0.363636,0.919355,0.451437,0.320779,0.393939,0.5,0.91927
