CRS (RPM),F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),TPI,PR(mm/r)
0.363636,0.278865,0.132468,0.272727,0.3,0.008856,0.693437
0.363636,0.268161,0.171429,0.363636,0.3,0.008651,0.822604
0.363636,0.316546,0.135714,0.545455,0.5,0.012683,0.596771
0.363636,0.334536,0.13961,0.484848,0.45,0.01008,0.677501
0.363636,0.311153,0.186364,0.363636,0.35,0.009489,0.83875
0.363636,0.311153,0.169481,0.424242,0.4,0.008072,0.83875
0.363636,0.294962,0.144156,0.424242,0.425,0.005944,0.83875
0.363636,0.348918,0.161039,0.454545,0.375,0.012251,0.677501
0.363636,0.316546,0.169481,0.484848,0.4,0.008072,0.83875
0.363636,0.316546,0.177922,0.545455,0.45,0.013983,0.677501
0.363636,0.30576,0.084416,0.515152,0.425,0.002537,0.758021
0.363636,0.329131,0.135714,0.454545,0.375,0.00722,0.758021
0.363636,0.348918,0.126623,0.454545,0.425,0.006439,0.758021
0.363636,0.293164,0.144156,0.575758,0.375,0.008,0.758021
0.363636,0.316546,0.169481,0.545455,0.4,0.006178,0.91927
0.363636,0.334536,0.177922,0.393939,0.375,0.017561,0.596771
0.363636,0.318344,0.194805,0.393939,0.4,0.030895,0.435521
0.363636,0.316546,0.152597,0.181818,0.225,0.043902,0.274062
0.363636,0.365109,0.448701,0.242424,0.225,0.134577,0.225834
0.363636,0.361514,0.201299,0.393939,0.4,0.041249,0.354791
0.363636,0.381289,0.398052,0.424242,0.225,0.21561,0.112812
0.363636,0.388492,0.279221,0.363636,0.3,0.073171,0.274062
0.363636,0.33094,0.381169,0.363636,0.3,0.040976,0.596771
0.363636,0.316546,0.322078,0.393939,0.375,0.034146,0.596771
0.363636,0.298557,0.338961,0.424242,0.375,0.03046,0.677501
0.363636,0.336334,0.296753,0.30303,0.25,0.029037,0.629063
0.363636,0.34712,0.194805,0.333333,0.275,0.02439,0.516041
0.272727,0.376026,0.342857,0.151515,0.3,0.075335,0.318515
0.363636,0.352513,0.364286,0.212121,0.375,0.082927,0.306354
0.363636,0.352513,0.237013,0.212121,0.225,0.141463,0.112812
0.363636,0.387605,0.36039,0.151515,0.3,0.077854,0.322499
0.363636,0.370503,0.364286,0.151515,0.275,0.05691,0.435521
0.363636,0.442448,0.398052,0.181818,0.175,0.077463,0.354791
0.363636,0.420863,0.38961,0.181818,0.2,0.050035,0.516041
0.363636,0.442448,0.391558,0.151515,0.175,0.05419,0.483749
0.363636,0.397481,0.347403,0.060606,0.2,0.068098,0.354791
0.363636,0.424459,0.381169,0.151515,0.125,0.074341,0.354791
0.363636,0.401076,0.406494,0.212121,0.175,0.063415,0.435521
0.545455,0.433448,0.364286,0.181818,0.15,0.109193,0.231076
0.345455,0.290775,0.118182,0.242424,0.3,0.02373,0.377438
0.363636,0.316546,0.22013,0.242424,0.225,0.027734,0.516041
0.363636,0.264388,0.211688,0.181818,0.175,0.023364,0.564479
0.381818,0.275376,0.228571,0.242424,0.275,0.023979,0.586915
0.272727,0.230231,0.188961,0.151515,0.175,0.016246,0.650451
0.363636,0.231579,0.157143,0.212121,0.175,0.00878,0.774166
0.363636,0.251804,0.188312,0.181818,0.175,0.009666,0.83875
0.363636,0.26259,0.169481,0.272727,0.225,0.010341,0.758021
0.363636,0.233814,0.131169,0.272727,0.225,0.004878,0.83875
0.363636,0.232017,0.133766,0.272727,0.225,0.003446,0.91927
0.363636,0.230219,0.131818,0.30303,0.2,0.003317,0.91927
0.363636,0.25385,0.1,0.333333,0.275,0.00226,0.83875
0.363636,0.216653,0.096753,0.30303,0.25,0.002299,0.822604
0.363636,0.217623,0.101299,0.30303,0.25,0.000976,0.91927
0.363636,0.235612,0.144156,0.30303,0.25,0.004878,0.887188
0.363636,0.228421,0.151299,0.30303,0.25,0.004812,0.91927
0.454545,0.223016,0.194805,0.333333,0.3,0.007994,0.925142
0.363636,0.233814,0.126623,0.30303,0.25,0.001576,1.0
0.363636,0.244601,0.15,0.363636,0.3,0.004683,0.91927
0.363636,0.216901,0.116234,0.272727,0.25,0.005478,0.758021
0.363636,0.248397,0.182468,0.272727,0.275,0.009165,0.83875
0.272727,0.260721,0.149351,0.272727,0.275,0.005505,0.877752
0.363636,0.253116,0.112987,0.212121,0.2,0.010116,0.596771
0.363636,0.28058,0.101299,0.333333,0.275,0.00878,0.596771
0.454545,0.294962,0.212338,0.272727,0.25,0.01854,0.655483
0.363636,0.325535,0.233117,0.242424,0.25,0.01748,0.725729
0.363636,0.290526,0.222727,0.121212,0.225,0.024708,0.564479
0.363636,0.295293,0.217532,0.151515,0.275,0.016009,0.725729
0.363636,0.301372,0.244156,0.181818,0.3,0.022403,0.645209
0.454545,0.294962,0.313636,0.242424,0.225,0.019686,0.850283
0.363636,0.334536,0.281818,0.363636,0.275,0.013427,0.967708
0.363636,0.334536,0.211688,0.151515,0.275,0.014244,0.758021
0.363636,0.292064,0.244805,0.212121,0.275,0.017312,0.758021
0.272727,0.297966,0.297403,0.212121,0.25,0.016771,0.895156
0.363636,0.291981,0.27987,0.090909,0.2,0.018543,0.806458
0.363636,0.316546,0.279221,0.333333,0.325,0.029268,0.596771
0.363636,0.352513,0.330519,0.272727,0.4,0.025171,0.758021
0.363636,0.352513,0.313636,0.272727,0.3,0.018912,0.871042
0.363636,0.325535,0.279221,0.242424,0.275,0.021953,0.725729
0.327273,0.277303,0.291558,0.212121,0.225,0.020482,0.783602
0.272727,0.195553,0.181818,0.212121,0.225,0.006895,0.930174
0.363636,0.236002,0.15974,0.212121,0.225,0.006163,0.887188
0.363636,0.318344,0.279221,0.363636,0.35,0.014634,0.91927
0.363636,0.336334,0.253896,0.272727,0.25,0.013626,0.887188
0.363636,0.327333,0.203896,0.242424,0.275,0.011947,0.806458
0.272727,0.27851,0.249351,0.393939,0.425,0.013538,0.877752
0.272727,0.316192,0.214286,0.363636,0.45,0.012269,0.82533
0.363636,0.316546,0.211688,0.484848,0.425,0.014244,0.758021
0.363636,0.352513,0.211688,0.454545,0.425,0.008285,0.967708
0.363636,0.343525,0.264286,0.424242,0.425,0.013463,0.91927
