CRS (RPM),F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),TPI,PR(mm/r)
0.181818,0.197757,0.094452,0.030303,0.175000,0.046439,0.237576
0.363636,0.356341,0.085865,0.545455,0.475000,0.009194,0.596771
0.545455,0.794771,0.741083,0.848485,0.875000,0.512023,0.091424
0.454545,0.263063,0.017173,0.454545,0.350000,0.001414,0.550640
0.454545,0.365665,0.138045,0.484848,0.425000,0.041018,0.326064
0.727273,0.794771,0.327609,0.666667,0.700000,0.294201,0.074858
0.545455,0.608203,0.647952,0.727273,0.750000,0.345555,0.133361
0.545455,0.626863,0.310436,0.666667,0.725000,0.360477,0.049486
0.545455,0.720141,0.655218,0.727273,0.750000,0.458982,0.091424
0.818182,0.328356,0.241083,0.030303,0.175000,0.204385,0.091424
0.363636,0.430198,0.346103,0.393939,0.500000,0.050732,0.532187
0.636364,0.533573,0.353369,0.515152,0.575000,0.370580,0.056406
0.327273,0.287649,0.279392,0.212121,0.225000,0.022977,0.783602
0.363636,0.514925,0.370542,0.484848,0.350000,0.199965,0.145104
0.363636,0.328356,0.155218,0.545455,0.400000,0.006128,0.919270
0.545455,0.906710,0.827609,0.666667,0.700000,0.273338,0.231076
0.454545,0.350747,0.172391,0.606061,0.525000,0.037719,0.400923
0.363636,0.248132,0.054161,0.272727,0.400000,0.006832,0.548333
0.363636,0.365297,0.053501,0.212121,0.300000,0.002277,0.677501
0.363636,0.412310,0.336196,0.545455,0.475000,0.051223,0.516041
0.909091,0.309696,0.116909,0.000000,0.125000,0.352475,0.006710
0.454545,0.328356,0.094452,0.484848,0.400000,0.016973,0.475781
0.545455,0.794771,0.655218,0.757576,0.825000,0.379420,0.119312
0.909091,0.216418,0.138045,0.000000,0.075000,0.233557,0.039841
0.636364,0.794771,0.741083,0.818182,0.875000,0.453087,0.108828
0.272727,0.451484,0.191546,0.424242,0.400000,0.091333,0.196268
0.727273,0.192163,0.198151,0.060606,0.400000,0.204031,0.074858
1.000000,0.197757,0.099736,0.000000,0.075000,0.120880,0.087859
0.363636,0.162313,0.109643,0.090909,0.100000,0.037401,0.306354
0.636364,0.309696,0.249670,0.181818,0.175000,0.184346,0.108828
0.727273,0.645524,0.396301,0.666667,0.750000,0.138430,0.235269
0.545455,0.837687,0.672391,0.757576,0.800000,0.330166,0.147201
0.636364,0.738802,0.310436,0.606061,0.650000,0.170202,0.148249
0.363636,0.552233,0.525760,0.545455,0.500000,0.268918,0.145104
0.545455,0.449619,0.353369,0.181818,0.150000,0.127475,0.231076
0.363636,0.794771,0.698151,0.515152,0.625000,0.156294,0.354791
0.363636,0.328356,0.085865,0.515152,0.525000,0.005085,0.709583
0.454545,0.347017,0.111625,0.272727,0.400000,0.020926,0.460893
0.636364,0.720141,0.482827,0.787879,0.800000,0.311644,0.108828
0.272727,0.360071,0.119551,0.575758,0.525000,0.011209,0.650451
0.727273,0.664172,0.439234,0.787879,0.875000,0.176980,0.198155
0.363636,0.242538,0.116248,0.272727,0.225000,0.004597,0.838750
0.363636,0.449619,0.180978,0.515152,0.500000,0.070997,0.241979
0.818182,0.123128,0.180978,0.000000,0.075000,0.130127,0.126232
0.363636,0.629170,0.426024,0.515152,0.625000,0.078851,0.435521
0.363636,0.416040,0.327609,0.242424,0.275000,0.140972,0.193542
0.363636,0.322762,0.090489,0.515152,0.425000,0.006641,0.677501
0.545455,0.539180,0.422061,0.696970,0.575000,0.148692,0.231076
0.363636,0.384326,0.413474,0.454545,0.450000,0.124116,0.274062
0.272727,0.626863,0.439234,0.575758,0.600000,0.257426,0.126232
0.818182,0.216418,0.077279,0.000000,0.075000,0.128006,0.068148
0.636364,0.757462,0.310436,0.848485,0.775000,0.217351,0.108828
0.727273,0.160449,0.138045,0.000000,0.075000,0.161952,0.074858
0.454545,0.384326,0.266843,0.424242,0.350000,0.352900,0.041518
0.727273,0.925370,0.827609,0.909091,0.950000,0.312235,0.198155
0.636364,0.235078,0.180978,0.000000,0.025000,0.146630,0.108828
0.636364,0.347017,0.413474,0.090909,0.200000,0.482723,0.043405
0.363636,0.402066,0.349406,0.151515,0.300000,0.090559,0.322499
0.363636,0.325179,0.105680,0.363636,0.300000,0.017129,0.499895
0.545455,0.850740,0.827609,0.818182,0.850000,0.512023,0.105263
0.363636,0.257665,0.168428,0.272727,0.275000,0.009646,0.838750
0.363636,0.468280,0.568692,0.545455,0.600000,0.165488,0.274062
0.363636,0.412310,0.336196,0.060606,0.200000,0.079066,0.354791
0.363636,0.388055,0.155218,0.515152,0.500000,0.018388,0.596771
0.345455,0.301623,0.103038,0.242424,0.300000,0.026803,0.377438
0.727273,0.738802,0.568692,0.757576,0.700000,0.222065,0.198155
0.454545,0.533573,0.396301,0.515152,0.550000,0.210095,0.146362
0.545455,0.552233,0.482827,0.545455,0.525000,0.167256,0.231076
0.545455,0.570894,0.223910,0.878788,0.775000,0.052334,0.370937
0.272727,0.458955,0.284676,0.484848,0.500000,0.114569,0.213672
0.545455,0.720141,0.396301,0.606061,0.650000,0.126269,0.259174
