F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),SE(kW· h/m3),FPI,TPI,PR(mm/r)
0.275174,0.065584,0.484848,0.35,0.013898,0.039452,0.013896,0.388341
0.334536,0.135714,0.666667,0.375,0.016836,0.033626,0.016585,0.516041
0.312951,0.075974,0.636364,0.425,0.007684,0.027989,0.007514,0.548333
0.296759,0.075974,0.575758,0.475,0.004407,0.019124,0.004278,0.650451
0.298557,0.084416,0.636364,0.475,0.019774,0.048793,0.019707,0.354791
0.241005,0.075974,0.424242,0.425,0.008701,0.021302,0.00878,0.516041
0.334536,0.10974,0.545455,0.475,0.013446,0.033626,0.013241,0.516041
0.329131,0.118182,0.545455,0.5,0.008136,0.02096,0.007913,0.677501
0.334536,0.10974,0.484848,0.475,0.008136,0.023143,0.00788,0.650451
0.298557,0.075974,0.545455,0.475,0.012768,0.037181,0.012683,0.435521
0.334536,0.092857,0.636364,0.475,0.009153,0.029322,0.008985,0.564479
0.334536,0.10974,0.666667,0.5,0.013446,0.033626,0.013241,0.516041
0.298557,0.084416,0.575758,0.475,0.010056,0.028886,0.009894,0.516041
0.294962,0.073377,0.545455,0.45,0.006215,0.023356,0.006079,0.580625
0.334536,0.174675,0.454545,0.375,0.021921,0.033626,0.021716,0.516041
0.334536,0.152597,0.515152,0.45,0.018983,0.033626,0.018816,0.516041
0.334536,0.135714,0.575758,0.5,0.012881,0.026812,0.012683,0.596771
0.298557,0.084416,0.484848,0.4,0.007458,0.023781,0.007379,0.580625
0.311153,0.084416,0.545455,0.425,0.008136,0.026485,0.007958,0.564479
0.478415,0.169481,0.545455,0.45,0.021582,0.052585,0.021046,0.516041
0.316546,0.101299,0.484848,0.4,0.012316,0.031256,0.012125,0.516041
0.311153,0.084416,0.545455,0.475,0.004633,0.019117,0.004446,0.677501
0.316546,0.084416,0.515152,0.425,0.004633,0.01967,0.004446,0.677501
0.334536,0.092857,0.515152,0.475,0.008023,0.026812,0.007805,0.596771
